,gameName,genre,reviewScore,playTime
136,Watch Dogs,Action,71,157.52
137,Far Cry 4,Shooter,76,110.57
138,Grand Theft Auto III,Action,76,119.26
139,Yakuza 3,Action,73,102.43
140,Deus Ex: Mankind Divided,Role-Playing,78,71.92
141,No Man's Sky,Action,70,138.98
142,Batman: Arkham Origins,Action,75,73.05
143,Yakuza Kiwami,Adventure,80,109.81
144,Final Fantasy VII,Role-Playing,89,256.2
145,Bayonetta,Action,81,94.77
146,XCOM 2,Strategy,83,162.55
147,Shin Megami Tensei: Persona 3 Portable,Role-Playing,88,113.78
148,Assassin's Creed II,Action,83,130.85
149,Borderlands,Shooter,76,102.1
150,Grand Theft Auto: San Andreas,Action,87,237.75
151,Assassin's Creed IV: Black Flag,Action,81,187.78
152,Wolfenstein: The New Order,Shooter,80,84.1
153,Prey,Shooter,83,88.54
154,Payday 2,Shooter,69,71.22
155,Psychonauts,Platform,82,95.18
156,Resident Evil 4,Action,89,160.26
157,Counter-Strike,Shooter,81,36.72
158,Trine,Action,74,35.25
159,Uncharted: Drake's Fortune,Action,75,23.78
160,Demon's Souls,Role-Playing,86,23.98
161,God of War II,Action,84,23.55
162,Sniper Elite V2,Shooter,70,28.95
163,Valkyria Chronicles,Role-Playing,83,62.93
164,7 Days to Die,Action,65,123.0
165,Alice: Madness Returns,Adventure,75,70.63
166,Tomb Raider: Anniversary,Action,76,85.93
167,Goat Simulator,Simulation,58,10.26
168,The Legend of Zelda: A Link to the Past,Action,88,45.34
169,Tropico 4,Strategy,74,40.72
170,The Elder Scrolls Online,Role-Playing,71,223.61
171,Final Fantasy VI,Role-Playing,88,140.27
172,Super Mario 64,Platform,86,25.45
173,Call of Duty: Modern Warfare 3,Shooter,73,36.99
174,The Bureau: XCOM Declassified,Shooter,66,31.4
175,F.E.A.R. Perseus Mandate,Shooter,68,10.55
176,LEGO Harry Potter: Years 1-4,Action,73,87.32
177,Syberia,Action,76,28.88
178,Deus Ex: Human Revolution,Shooter,85,132.0
179,"Warhammer 40,000: Dawn of War",Strategy,78,12.42
180,Phoenix Wright: Ace Attorney Trilogy,Adventure,88,169.8
181,Ratchet & Clank,Platform,77,20.56
182,Homefront,Shooter,59,17.58
183,LEGO Batman 2: DC Super Heroes,Action,73,68.6
184,LEGO Batman: The Videogame,Action,73,74.13
185,Tomb Raider: Legend,Action,72,44.03
186,Max Payne 2: The Fall of Max Payne,Shooter,83,20.33
187,Far Cry 2,Action,68,79.27
188,Destroy All Humans!,Shooter,70,31.22
189,Oddworld: Abe's Oddysee,Platform,77,12.52
190,Star Wars Jedi Knight II: Jedi Outcast,Shooter,80,22.82
191,Yakuza 4,Action,79,124.82
192,Sonic Adventure 2,Platform,73,33.68
193,Dead Island,Action,68,97.98
194,S.T.A.L.K.E.R.: Call of Pripyat,Shooter,81,15.7
195,Vanquish,Shooter,77,41.98
196,Red Faction: Armageddon,Shooter,67,33.36
197,Star Wars: The Force Unleashed II,Action,65,40.94
198,Hitman 2: Silent Assassin,Action,77,56.93
199,Syberia II,Adventure,73,26.61
200,Catherine,Adventure,81,62.49
201,Just Cause,Action,58,50.27
202,Danganronpa 2: Goodbye Despair,Misc,85,167.65
203,Yakuza 5,Action,81,225.12
204,Red Dead Redemption,Action,88,69.09
205,Shadow of the Colossus,Action,82,14.15
206,World of Goo,Puzzle,75,11.73
207,Murdered: Soul Suspect,Action,67,40.25
208,Call of Duty: World at War,Shooter,75,53.76
209,Sonic & All-Stars Racing Transformed,Racing,78,45.75
210,Divinity: Original Sin,Role-Playing,82,143.02
211,Dragon Age: Origins,Role-Playing,86,186.68
212,Uncharted 2: Among Thieves,Action,87,31.06
213,Star Wars: Republic Commando,Shooter,76,42.49
214,Torchlight,Role-Playing,71,49.34
215,Doom II: Hell on Earth,Shooter,81,44.7
216,The Legend of Zelda: Ocarina of Time,Action,92,54.96
217,Uncharted 3: Drake's Deception,Action,82,26.76
218,S.T.A.L.K.E.R.: Clear Sky,Shooter,70,13.17
219,Enslaved: Odyssey to the West,Action,76,34.13
220,Super Mario Sunshine,Platform,79,17.05
221,Deus Ex: Invisible War,Shooter,64,9.25
222,Rayman Legends,Platform,85,71.29
223,Street Fighter V,Fighting,66,9.38
224,Rage,Shooter,70,43.97
225,Quake,Shooter,81,25.61
226,Red Faction: Guerrilla,Shooter,75,40.47
227,Spore,Strategy,72,12.63
228,Child of Light,Role-Playing,78,91.26
229,Bayonetta 2,Action,86,9.53
230,Deponia,Adventure,73,15.82
231,Doom 3,Shooter,74,61.14
232,Tales of Zestiria,Role-Playing,69,170.58
233,Doom 64,Shooter,75,26.66
234,Mortal Kombat X,Fighting,75,28.9
235,Fallout 3,Role-Playing,82,103.29
236,Mass Effect 3,Role-Playing,85,195.88
237,Mount & Blade: Warband,Role-Playing,83,194.59
238,LEGO Harry Potter: Years 5-7,Action,73,57.29
239,Planescape: Torment,Role-Playing,89,67.8
240,Tales of Symphonia,Role-Playing,83,191.55
241,Prince of Persia: The Sands of Time,Action,80,54.08
242,Naruto Shippuden: Ultimate Ninja Storm 4,Fighting,78,45.54
243,Remember Me,Action,71,29.53
244,Dead Rising 2,Action,73,76.23
245,Tomb Raider III: Adventures of Lara Croft,Action,74,33.85
246,Final Fantasy,Role-Playing,71,56.75
247,Tomb Raider II,Action,79,15.78
248,Super Mario World,Platform,88,16.9
249,Serious Sam 3: BFE,Shooter,68,31.2
250,Sleeping Dogs,Action,82,79.25
251,Company of Heroes: Opposing Fronts,Strategy,79,13.32
252,Binary Domain,Action,76,27.99
253,Medal of Honor,Shooter,64,16.3
254,Company of Heroes: Tales of Valor,Strategy,76,5.15
255,Bulletstorm,Shooter,74,52.36
256,Thief: Deadly Shadows,Action,79,16.65
257,Star Wars: Dark Forces,Shooter,72,8.83
258,Castlevania: Symphony of the Night,Platform,90,48.29
259,Devil May Cry HD Collection,Action,80,116.51
260,Donkey Kong Country: Tropical Freeze,Platform,85,11.83
261,Dead Space 3,Action,71,61.15
262,Far Cry,Shooter,71,33.36
263,Sonic CD,Platform,71,7.57
264,Persona 5,Role-Playing,92,291.73
265,Overlord,Strategy,70,33.37
266,Call of Duty: Ghosts,Shooter,66,46.91
267,Metal Gear Solid,Action,89,35.9
268,Duke Nukem Forever,Shooter,55,29.25
269,Darksiders II,Action,77,90.93
270,Overlord II,Action,70,50.52
271,LEGO Marvel's Avengers,Action,69,70.48
272,"Warhammer 40,000: Dawn of War II",Strategy,78,15.3
273,Alpha Protocol,Role-Playing,72,40.36
274,Final Fantasy V,Role-Playing,79,97.89
275,Machinarium,Adventure,77,15.17
276,The Legend of Zelda: The Minish Cap,Action,82,15.42
277,Wasteland 2,Role-Playing,76,132.4
278,Super Mario Bros.,Platform,77,6.15
279,Assetto Corsa,Racing,77,86.42
280,X-COM: UFO Defense,Strategy,87,37.18
281,Lords of the Fallen,Role-Playing,64,59.48
282,Dungeon Defenders,Role-Playing,71,35.41
283,Hearts of Iron IV,Strategy,80,53.15
284,Sniper Elite,Shooter,63,25.82
285,Battlefield: Bad Company 2,Shooter,76,33.63
286,Tropico 5,Simulation,72,42.18
287,The Last of Us,Action,92,15.52
288,Rayman Origins,Platform,82,54.36
289,Call of Duty: Advanced Warfare,Shooter,69,47.92
290,Until Dawn,Adventure,78,15.66
291,Shin Megami Tensei: Persona 3 FES,Role-Playing,88,164.06
292,Final Fantasy XIII-2,Role-Playing,74,133.48
293,Saints Row: Gat out of Hell,Action,63,32.26
294,Shantae and the Pirate's Curse,Platform,80,38.4
295,Mega Man Legacy Collection,Platform,79,84.65
296,Risen,Role-Playing,75,59.05
297,Metal Gear Solid 2: Sons of Liberty,Action,87,80.41
298,Paper Mario,Role-Playing,86,47.18
299,Devil May Cry,Action,74,49.51
300,Final Fantasy X,Role-Playing,87,316.31
301,Sid Meier's Civilization IV,Strategy,82,15.52
302,The Legend of Zelda: Majora's Mask,Action,90,37.44
303,Tom Clancy's Splinter Cell,Action,76,67.79
304,Tomb Raider: The Last Revelation,Action,71,17.45
305,Metroid Prime,Shooter,89,27.17
306,LEGO Jurassic World,Action,73,76.14
307,God Eater 2: Rage Burst,Role-Playing,71,112.59
308,LEGO City Undercover,Platform,76,70.71
309,"Warhammer 40,000: Dawn of War II - Retribution",Strategy,74,9.52
310,Doom 3: Resurrection of Evil,Shooter,72,19.99
311,Super Metroid,Action,89,23.21
312,Silent Hill 2,Action,91,40.32
313,The Lord of the Rings: War in the North,Action,69,39.34
314,Titan Quest,Role-Playing,73,26.08
315,Project CARS,Racing,72,101.23
316,Zombie Army Trilogy,Shooter,64,43.59
317,Crazy Taxi,Racing,70,11.85
318,Hitman: Contracts,Shooter,74,41.14
319,Metal Gear Solid 3: Snake Eater,Action,92,78.75
320,Donkey Kong Country,Platform,82,13.82
321,Medieval II: Total War,Strategy,84,31.17
322,Risen 2: Dark Waters,Role-Playing,72,116.63
323,The LEGO Movie Videogame,Action,68,48.45
324,EarthBound,Role-Playing,88,91.4
325,Ys VIII: Lacrimosa of Dana,Role-Playing,86,111.52
326,Super Mario Galaxy 2,Platform,89,27.3
