,Unnamed: 0,gameName,genre,reviewScore,playTime,appID
112,112,Resident Evil: Revelations 2,Action,73,71.4,883710
113,113,F.E.A.R. 2: Project Origin,Shooter,72,30.73,16450
114,114,Prison Architect,Action,73,40.95,233450
115,115,Star Wars: Battlefront II,Shooter,82,30.65,1237950
116,116,The Elder Scrolls III: Morrowind,Role-Playing,85,42.8,22320
117,117,Ni no Kuni: Wrath of the White Witch,Role-Playing,84,252.81,798460
118,118,"Warhammer 40,000: Space Marine",Shooter,72,23.98,2183900
119,119,Pillars of Eternity,Role-Playing,79,99.93,291650
120,120,Stellaris,Strategy,80,110.45,281990
121,121,Hitman: Absolution,Action,74,48.06,203140
122,122,Mafia,Action,84,30.65,360430
123,123,Call of Duty: Modern Warfare 2,Shooter,80,33.03,3595230
124,124,Tales of Berseria,Role-Playing,81,210.15,429660
125,125,Crysis 2,Action,73,61.89,2096600
126,126,Euro Truck Simulator 2,Action,79,48.93,227300
127,127,The Darkness II,Shooter,74,29.53,67370
128,128,Xenoblade Chronicles,Role-Playing,89,142.6,
129,129,Sonic Generations,Platform,77,30.54,2513280
130,130,Max Payne 3,Shooter,80,42.77,204100
131,131,Total War: Shogun 2,Strategy,80,28.85,214950
132,132,F.E.A.R.,Shooter,79,35.99,223710
133,133,Saints Row 2,Action,76,97.98,9480
134,134,Resident Evil: Revelations,Action,73,63.83,287290
135,135,Minecraft,Misc,88,586.77,1672970
136,136,Watch Dogs,Action,71,157.52,447040
137,137,Far Cry 4,Shooter,76,110.57,298110
138,138,Grand Theft Auto III,Action,76,119.26,3240220
139,139,Yakuza 3,Action,73,102.43,1088710
140,140,Deus Ex: Mankind Divided,Role-Playing,78,71.92,337000
141,141,No Man's Sky,Action,70,138.98,275850
142,142,Batman: Arkham Origins,Action,75,73.05,209000
143,143,Yakuza Kiwami,Adventure,80,109.81,927380
144,144,Final Fantasy VII,Role-Playing,89,256.2,2909400
145,145,Bayonetta,Action,81,94.77,460790
146,146,XCOM 2,Strategy,83,162.55,268500
147,147,Shin Megami Tensei: Persona 3 Portable,Role-Playing,88,113.78,
148,148,Assassin's Creed II,Action,83,130.85,33230
149,149,Borderlands,Shooter,76,102.1,1285190
150,150,Grand Theft Auto: San Andreas,Action,87,237.75,1547000
151,151,Assassin's Creed IV: Black Flag,Action,81,187.78,242050
152,152,Wolfenstein: The New Order,Shooter,80,84.1,201810
153,153,Prey,Shooter,83,88.54,480490
154,154,Payday 2,Shooter,69,71.22,218620
155,155,Psychonauts,Platform,82,95.18,3830
156,156,Resident Evil 4,Action,89,160.26,2050650
157,157,Counter-Strike,Shooter,81,36.72,730
158,158,Trine,Action,74,35.25,690640
159,159,Uncharted: Drake's Fortune,Action,75,23.78,
160,160,Demon's Souls,Role-Playing,86,23.98,
161,161,God of War II,Action,84,23.55,2322010
162,162,Sniper Elite V2,Shooter,70,28.95,63380
163,163,Valkyria Chronicles,Role-Playing,83,62.93,790820
164,164,7 Days to Die,Action,65,123.0,251570
165,165,Alice: Madness Returns,Adventure,75,70.63,19680
166,166,Tomb Raider: Anniversary,Action,76,85.93,8000
167,167,Goat Simulator,Simulation,58,10.26,850190
168,168,The Legend of Zelda: A Link to the Past,Action,88,45.34,
169,169,Tropico 4,Strategy,74,40.72,57690
170,170,The Elder Scrolls Online,Role-Playing,71,223.61,489830
171,171,Final Fantasy VI,Role-Playing,88,140.27,2909400
172,172,Super Mario 64,Platform,86,25.45,
173,173,Call of Duty: Modern Warfare 3,Shooter,73,36.99,3595230
174,174,The Bureau: XCOM Declassified,Shooter,66,31.4,65930
175,175,F.E.A.R. Perseus Mandate,Shooter,68,10.55,
176,176,LEGO Harry Potter: Years 1-4,Action,73,87.32,21130
177,177,Syberia,Action,76,28.88,3660220
178,178,Deus Ex: Human Revolution,Shooter,85,132.0,238010
179,179,"Warhammer 40,000: Dawn of War",Strategy,78,12.42,3556750
180,180,Phoenix Wright: Ace Attorney Trilogy,Adventure,88,169.8,787480
181,181,Ratchet & Clank,Platform,77,20.56,1895880
182,182,Homefront,Shooter,59,17.58,223100
183,183,LEGO Batman 2: DC Super Heroes,Action,73,68.6,213330
184,184,LEGO Batman: The Videogame,Action,73,74.13,21000
185,185,Tomb Raider: Legend,Action,72,44.03,7000
186,186,Max Payne 2: The Fall of Max Payne,Shooter,83,20.33,12150
187,187,Far Cry 2,Action,68,79.27,19900
188,188,Destroy All Humans!,Shooter,70,31.22,1266700
189,189,Oddworld: Abe's Oddysee,Platform,77,12.52,15700
190,190,Star Wars Jedi Knight II: Jedi Outcast,Shooter,80,22.82,6030
191,191,Yakuza 4,Action,79,124.82,1105500
192,192,Sonic Adventure 2,Platform,73,33.68,213610
193,193,Dead Island,Action,68,97.98,934700
194,194,S.T.A.L.K.E.R.: Call of Pripyat,Shooter,81,15.7,2427430
195,195,Vanquish,Shooter,77,41.98,460810
196,196,Red Faction: Armageddon,Shooter,67,33.36,55110
197,197,Star Wars: The Force Unleashed II,Action,65,40.94,32430
198,198,Hitman 2: Silent Assassin,Action,77,56.93,6850
199,199,Syberia II,Adventure,73,26.61,46510
200,200,Catherine,Adventure,81,62.49,893180
201,201,Just Cause,Action,58,50.27,225540
202,202,Danganronpa 2: Goodbye Despair,Misc,85,167.65,413420
203,203,Yakuza 5,Action,81,225.12,1105510
204,204,Red Dead Redemption,Action,88,69.09,1174180
205,205,Shadow of the Colossus,Action,82,14.15,750920
206,206,World of Goo,Puzzle,75,11.73,22000
207,207,Murdered: Soul Suspect,Action,67,40.25,233290
208,208,Call of Duty: World at War,Shooter,75,53.76,10090
209,209,Sonic & All-Stars Racing Transformed,Racing,78,45.75,212480
210,210,Divinity: Original Sin,Role-Playing,82,143.02,435150
211,211,Dragon Age: Origins,Role-Playing,86,186.68,47810
212,212,Uncharted 2: Among Thieves,Action,87,31.06,
213,213,Star Wars: Republic Commando,Shooter,76,42.49,1286830
214,214,Torchlight,Role-Playing,71,49.34,1974050
215,215,Doom II: Hell on Earth,Shooter,81,44.7,
216,216,The Legend of Zelda: Ocarina of Time,Action,92,54.96,
217,217,Uncharted 3: Drake's Deception,Action,82,26.76,
218,218,S.T.A.L.K.E.R.: Clear Sky,Shooter,70,13.17,2427420
219,219,Enslaved: Odyssey to the West,Action,76,34.13,245280
220,220,Super Mario Sunshine,Platform,79,17.05,
221,221,Deus Ex: Invisible War,Shooter,64,9.25,6920
222,222,Rayman Legends,Platform,85,71.29,242550
223,223,Street Fighter V,Fighting,66,9.38,1364780
224,224,Rage,Shooter,70,43.97,985890
225,225,Quake,Shooter,81,25.61,282440
226,226,Red Faction: Guerrilla,Shooter,75,40.47,667720
227,227,Spore,Strategy,72,12.63,17390
228,228,Child of Light,Role-Playing,78,91.26,2325290
229,229,Bayonetta 2,Action,86,9.53,
230,230,Deponia,Adventure,73,15.82,292910
231,231,Doom 3,Shooter,74,61.14,208200
232,232,Tales of Zestiria,Role-Playing,69,170.58,351970
233,233,Doom 64,Shooter,75,26.66,1148590
234,234,Mortal Kombat X,Fighting,75,28.9,976310
235,235,Fallout 3,Role-Playing,82,103.29,22370
236,236,Mass Effect 3,Role-Playing,85,195.88,1238020
237,237,Mount & Blade: Warband,Role-Playing,83,194.59,261550
238,238,LEGO Harry Potter: Years 5-7,Action,73,57.29,21130
239,239,Planescape: Torment,Role-Playing,89,67.8,466300
240,240,Tales of Symphonia,Role-Playing,83,191.55,372360
241,241,Prince of Persia: The Sands of Time,Action,80,54.08,13600
242,242,Naruto Shippuden: Ultimate Ninja Storm 4,Fighting,78,45.54,349040
243,243,Remember Me,Action,71,29.53,228300
244,244,Dead Rising 2,Action,73,76.23,45740
245,245,Tomb Raider III: Adventures of Lara Croft,Action,74,33.85,
246,246,Final Fantasy,Role-Playing,71,56.75,39210
247,247,Tomb Raider II,Action,79,15.78,2478970
248,248,Super Mario World,Platform,88,16.9,
249,249,Serious Sam 3: BFE,Shooter,68,31.2,41070
250,250,Sleeping Dogs,Action,82,79.25,307690
251,251,Company of Heroes: Opposing Fronts,Strategy,79,13.32,9340
252,252,Binary Domain,Action,76,27.99,203750
253,253,Medal of Honor,Shooter,64,16.3,47790
254,254,Company of Heroes: Tales of Valor,Strategy,76,5.15,20540
255,255,Bulletstorm,Shooter,74,52.36,501590
256,256,Thief: Deadly Shadows,Action,79,16.65,6980
257,257,Star Wars: Dark Forces,Shooter,72,8.83,2292260
258,258,Castlevania: Symphony of the Night,Platform,90,48.29,
259,259,Devil May Cry HD Collection,Action,80,116.51,631510
260,260,Donkey Kong Country: Tropical Freeze,Platform,85,11.83,
261,261,Dead Space 3,Action,71,61.15,1238060
262,262,Far Cry,Shooter,71,33.36,552520
263,263,Sonic CD,Platform,71,7.57,
264,264,Persona 5,Role-Playing,92,291.73,1687950
265,265,Overlord,Strategy,70,33.37,12810
266,266,Call of Duty: Ghosts,Shooter,66,46.91,1938090
267,267,Metal Gear Solid,Action,89,35.9,287700
268,268,Duke Nukem Forever,Shooter,55,29.25,57900
269,269,Darksiders II,Action,77,90.93,388410
270,270,Overlord II,Action,70,50.52,12810
271,271,LEGO Marvel's Avengers,Action,69,70.48,405310
272,272,"Warhammer 40,000: Dawn of War II",Strategy,78,15.3,3556750
273,273,Alpha Protocol,Role-Playing,72,40.36,34010
274,274,Final Fantasy V,Role-Playing,79,97.89,2909400
275,275,Machinarium,Adventure,77,15.17,40700
276,276,The Legend of Zelda: The Minish Cap,Action,82,15.42,
277,277,Wasteland 2,Role-Playing,76,132.4,240760
278,278,Super Mario Bros.,Platform,77,6.15,
279,279,Assetto Corsa,Racing,77,86.42,244210
